chapter	linenumber	word	n_words	n
Глава 1	30	следует	4804	3
Глава 1	30	за	4804	26
Глава 1	30	принятием	4804	1
Глава 1	31	изобретенных	4804	1
Глава 1	31	дживсом	4804	2
Глава 1	31	животворных	4804	1
Глава 1	31	бальзамов	4804	1
Глава 1	31	например	4804	2
Глава 1	31	мое	4804	5
Глава 1	31	темя	4804	1
Глава 1	31	взлетело	4804	1
Глава 1	31	к	4804	32
Глава 1	32	потолку	4804	1
Глава 1	32	а	4804	23
Глава 1	32	глаза	4804	8
Глава 1	32	выпрыгнули	4804	1
Глава 1	32	из	4804	26
Глава 1	32	орбит	4804	1
Глава 1	32	и	4804	141
Глава 1	32	ударившись	4804	1
Глава 1	32	о	4804	15
Глава 1	32	стену	4804	1
Глава 1	32	отскочили	4804	1
Глава 1	32	как	4804	40
Глава 1	33	теннисные	4804	1
Глава 1	33	мячи	4804	1
Глава 1	33	почувствовал	4804	2
Глава 1	33	себя	4804	10
Глава 1	33	лучше	4804	3
Глава 1	33	было	4804	8
Глава 1	33	бы	4804	18
Глава 1	33	преувеличением	4804	1
Глава 1	34	утверждать	4804	1
Глава 1	34	что	4804	84
Глава 1	34	ваш	4804	3
Глава 1	34	покорный	4804	1
Глава 1	34	слуга	4804	1
Глава 1	34	бертрам	4804	2
Глава 1	34	вустер	4804	2
Глава 1	34	совсем	4804	3
Глава 1	34	ожил	4804	1
Глава 1	34	однако	4804	6
Глава 1	34	толика	4804	1
Глава 1	35	сил	4804	1
Глава 1	35	вернулась	4804	2
Глава 1	35	я	4804	133
Глава 1	35	даже	4804	13
Глава 1	35	обрел	4804	1
Глава 1	35	способность	4804	1
Глава 1	35	вести	4804	2
Глава 1	35	беседу	4804	3
Глава 1	36	о	4804	15
Глава 1	36	хо	4804	2
Глава 1	36	хо	4804	2
Глава 1	36	произнес	4804	5
Глава 1	36	я	4804	133
Глава 1	36	изловив	4804	1
Глава 1	36	свои	4804	1
Глава 1	36	глаза	4804	8
Глава 1	36	и	4804	141
Глава 1	36	водворяя	4804	1
Глава 1	36	их	4804	5
Глава 1	36	на	4804	65
Глава 1	36	место	4804	1
Глава 1	37	ну	4804	12
Глава 1	37	как	4804	40
Глава 1	37	дживс	4804	12
Глава 1	37	что	4804	84
Глава 1	37	новенького	4804	1
Глава 1	37	в	4804	147
Глава 1	37	мире	4804	1
Глава 1	37	у	4804	20
Глава 1	37	вас	4804	11
Глава 1	37	ведь	4804	5
Глава 1	37	в	4804	147
Глава 1	37	руках	4804	1
Глава 1	37	газета	4804	1
Глава 1	38	нет	4804	11
Глава 1	38	сэр	4804	17
Глава 1	38	это	4804	31
Глава 1	38	путеводители	4804	1
Глава 1	38	из	4804	26
Глава 1	38	туристического	4804	1
Глава 1	38	агентства	4804	1
Глава 1	38	я	4804	133
Глава 1	38	подумал	4804	2
Глава 1	39	может	4804	10
Глава 1	39	быть	4804	12
Глава 1	39	вам	4804	11
Глава 1	39	будет	4804	4
Глава 1	39	интересно	4804	2
Глава 1	39	полистать	4804	1
Глава 1	40	в	4804	147
Глава 1	40	самом	4804	3
Глава 1	40	деле	4804	2
Глава 1	40	дживс	4804	12
Глава 1	40	спросил	4804	1
Глава 1	40	я	4804	133
Глава 1	40	вы	4804	28
Глава 1	40	действительно	4804	1
Глава 1	40	так	4804	20
Глава 1	40	подумали	4804	1
Глава 1	41	последовало	4804	1
Глава 1	41	непродолжительное	4804	1
Глава 1	41	и	4804	141
Глава 1	41	как	4804	40
Глава 1	41	я	4804	133
Глава 1	41	бы	4804	18
Глава 1	41	определил	4804	1
Глава 1	41	многозначительное	4804	1
Глава 1	42	молчание	4804	1
Глава 1	43	когда	4804	7
Глава 1	43	два	4804	2
Глава 1	43	человека	4804	5
Глава 1	43	с	4804	57
Глава 1	43	железной	4804	1
Глава 1	43	волей	4804	2
Глава 1	43	живут	4804	1
Глава 1	43	в	4804	147
Глава 1	43	тесном	4804	1
Глава 1	43	контакте	4804	1
Глава 1	43	друг	4804	3
Глава 1	43	с	4804	57
Глава 1	44	другом	4804	2
Глава 1	44	конфликты	4804	1
Глава 1	44	между	4804	2
Глава 1	44	ними	4804	2
Глава 1	44	просто	4804	4
Глава 1	44	неизбежны	4804	1
Глава 1	44	и	4804	141
Глава 1	44	именно	4804	10
Глава 1	44	такой	4804	5
Глава 1	44	конфликт	4804	1
Глава 1	45	разгорелся	4804	1
Глава 1	45	сейчас	4804	11
Глава 1	45	в	4804	147
Глава 1	45	доме	4804	2
Глава 1	45	берти	4804	1
Глава 1	45	вустера	4804	3
Глава 1	45	дживс	4804	12
Глава 1	45	вознамерился	4804	1
Глава 1	45	выманить	4804	1
Глава 1	45	меня	4804	25
Глава 1	45	в	4804	147
Глава 1	46	кругосветное	4804	1
Глава 1	46	путешествие	4804	1
Глава 1	46	а	4804	23
Глава 1	46	мне	4804	33
Глава 1	46	даже	4804	13
Глава 1	46	думать	4804	1
Глава 1	46	об	4804	3
Глава 1	46	этом	4804	5
Глава 1	46	тошно	4804	1
Глава 1	46	я	4804	133
Глава 1	46	решительно	4804	1
Глава 1	47	заявил	4804	1
Глава 1	47	что	4804	84
Глава 1	47	никуда	4804	2
Глава 1	47	не	4804	90
Глава 1	47	поеду	4804	1
Глава 1	47	и	4804	141
Глава 1	47	все	4804	20
Глава 1	47	равно	4804	3
Глава 1	47	дживс	4804	12
Глава 1	47	чуть	4804	7
Глава 1	47	не	4804	90
Глава 1	47	каждый	4804	3
Глава 1	47	день	4804	7
Глава 1	47	приносит	4804	2
Глава 1	48	мне	4804	33
Глава 1	48	пачки	4804	1
Глава 1	48	иллюстрированных	4804	1
Глава 1	48	проспектов	4804	1
Глава 1	48	при	4804	8
Глава 1	48	помощи	4804	1
Глава 1	48	которых	4804	2
Глава 1	48	разные	4804	1
Глава 1	48	бюро	4804	1
Глава 1	49	путешествий	4804	1
Глава 1	49	соблазняют	4804	1
Глава 1	49	нас	4804	4
Глава 1	49	сняться	4804	1
Глава 1	49	с	4804	57
Глава 1	49	насиженных	4804	1
Глава 1	49	мест	4804	1
Глава 1	49	и	4804	141
Глава 1	49	мчаться	4804	1
Глава 1	49	черт	4804	2
Глава 1	49	знает	4804	2
Глава 1	50	куда	4804	1
Глава 1	50	любоваться	4804	1
Глава 1	50	красотами	4804	1
Глава 1	50	природы	4804	1
Глава 1	50	глядя	4804	1
Глава 1	50	на	4804	65
Глава 1	50	дживса	4804	5
Глава 1	50	я	4804	133
Глава 1	50	каждый	4804	3
Глава 1	50	раз	4804	12
Глава 1	50	представляю	4804	2
Глава 1	51	себе	4804	8
Глава 1	51	хорошо	4804	4
Глава 1	51	натасканного	4804	1
Глава 1	51	охотничьего	4804	1
Глава 1	51	пса	4804	2
Глава 1	51	который	4804	8
Глава 1	51	упорно	4804	1
Глава 1	51	приносит	4804	2
Глава 1	51	в	4804	147
Глава 1	51	гостиную	4804	2
Глава 1	52	дохлых	4804	1
Глава 1	52	крыс	4804	1
Глава 1	52	и	4804	141
Глава 1	52	кладет	4804	1
Глава 1	52	на	4804	65
Глава 1	52	ковер	4804	1
Глава 1	52	как	4804	40
Глава 1	52	ему	4804	7
Глава 1	52	ни	4804	3
Глава 1	52	объясняй	4804	1
Глава 1	52	что	4804	84
Глава 1	52	в	4804	147
Глава 1	52	подобных	4804	2
Глава 1	52	услугах	4804	1
Глава 1	53	здесь	4804	1
Глава 1	53	не	4804	90
Глава 1	53	нуждаются	4804	1
Глава 1	53	более	4804	3
Глава 1	53	того	4804	4
Глава 1	53	они	4804	5
Глава 1	53	обременительны	4804	1
Глава 1	54	дживс	4804	12
Глава 1	54	выкиньте	4804	1
Глава 1	54	эту	4804	5
Глава 1	54	блажь	4804	1
Глава 1	54	из	4804	26
Глава 1	54	головы	4804	1
Глава 1	54	сказал	4804	5
Глава 1	54	я	4804	133
Глава 1	55	путешествия	4804	1
Глава 1	55	чрезвычайно	4804	4
Глава 1	55	обогащают	4804	1
Глава 1	55	новыми	4804	1
Глава 1	55	познаниями	4804	1
Глава 1	55	сэр	4804	17
Глава 1	56	я	4804	133
Глава 1	56	в	4804	147
Глава 1	56	новых	4804	1
Глава 1	56	познаниях	4804	1
Глава 1	56	не	4804	90
Глава 1	56	нуждаюсь	4804	1
Глава 1	56	сыт	4804	1
Глава 1	56	по	4804	18
Глава 1	56	горло	4804	1
Глава 1	56	тем	4804	3
Глава 1	56	что	4804	84
Глава 1	56	напичкали	4804	1
Глава 1	56	в	4804	147
Глава 1	57	меня	4804	25
Глава 1	57	пока	4804	3
Глава 1	57	учился	4804	1
Глава 1	57	а	4804	23
Глава 1	57	вот	4804	16
Глава 1	57	что	4804	84
Глава 1	57	с	4804	57
Глава 1	57	вами	4804	4
Глава 1	57	происходит	4804	2
Глава 1	57	я	4804	133
Глава 1	57	отлично	4804	2
Глава 1	57	знаю	4804	7
Глава 1	57	в	4804	147
Глава 1	57	вас	4804	11
Глава 1	57	снова	4804	3
Глава 1	58	проснулась	4804	1
Глава 1	58	кровь	4804	1
Глава 1	58	ваших	4804	2
Глава 1	58	предков	4804	1
Глава 1	58	викингов	4804	1
Глава 1	58	вы	4804	28
Глава 1	58	жаждете	4804	1
Глава 1	58	вдохнуть	4804	1
Глава 1	58	соленый	4804	1
Глава 1	58	запах	4804	2
Глава 1	59	моря	4804	1
Глава 1	59	вы	4804	28
Глава 1	59	мысленно	4804	2
Глава 1	59	разгуливаете	4804	1
Глава 1	59	по	4804	18
Глава 1	59	палубе	4804	1
Глава 1	59	в	4804	147
Глава 1	59	белой	4804	1
Глава 1	59	капитанской	4804	1
Глава 1	59	фуражке	4804	1
Глава 1	60	возможно	4804	4
Глава 1	60	кто	4804	4
Глава 1	60	то	4804	18
Глава 1	60	прожужжал	4804	1
Глава 1	60	вам	4804	11
Глава 1	60	уши	4804	1
Глава 1	60	о	4804	15
Глава 1	60	танцовщицах	4804	1
Глава 1	60	острова	4804	1
Глава 1	60	бали	4804	1
Глава 1	60	что	4804	84
Глава 1	60	ж	4804	2
Глава 1	60	я	4804	133
Глава 1	60	вас	4804	11
Глава 1	61	понимаю	4804	3
Глава 1	61	я	4804	133
Глава 1	61	вам	4804	11
Глава 1	61	даже	4804	13
Глава 1	61	сочувствую	4804	1
Глава 1	61	но	4804	33
Глава 1	61	все	4804	20
Глава 1	61	это	4804	31
Глава 1	61	не	4804	90
Глава 1	61	для	4804	13
Глава 1	61	меня	4804	25
Глава 1	61	я	4804	133
Глава 1	61	не	4804	90
Глава 1	61	позволю	4804	1
Глава 1	62	погрузить	4804	1
Глава 1	62	себя	4804	10
Глава 1	62	на	4804	65
Глава 1	62	океанский	4804	1
Глава 1	62	лайнер	4804	1
Глава 1	62	пропади	4804	1
Глава 1	62	они	4804	5
Глава 1	62	все	4804	20
Глава 1	62	пропадом	4804	1
Глава 1	62	и	4804	141
Глава 1	62	волочь	4804	1
Глава 1	63	вокруг	4804	1
Глава 1	63	света	4804	1
Глава 1	64	как	4804	40
Глава 1	64	вам	4804	11
Глава 1	64	будет	4804	4
Глава 1	64	угодно	4804	1
Глава 1	64	сэр	4804	17
Глава 1	65	в	4804	147
Глава 1	65	его	4804	29
Глава 1	65	голосе	4804	1
Глава 1	65	я	4804	133
Глава 1	65	уловил	4804	1
Глава 1	65	легкую	4804	1
Глава 1	65	иронию	4804	1
Глава 1	65	разозлиться	4804	1
Глава 1	65	он	4804	43
Глава 1	65	не	4804	90
Глава 1	65	разозлился	4804	1
Глава 1	65	но	4804	33
Глава 1	66	был	4804	12
Глава 1	66	явно	4804	2
Глава 1	66	разочарован	4804	1
Глава 1	66	и	4804	141
Глава 1	66	я	4804	133
Глава 1	66	дипломатично	4804	1
Глава 1	66	переменил	4804	1
Глава 1	66	тему	4804	1
Глава 1	67	эх	4804	1
Глава 1	67	дживс	4804	12
Глава 1	67	и	4804	141
Глава 1	67	кутнули	4804	1
Глава 1	67	мы	4804	8
Глава 1	67	вчера	4804	3
Глава 1	68	хорошо	4804	4
Глава 1	68	провели	4804	1
Глава 1	68	время	4804	3
Глава 1	68	сэр	4804	17
Глава 1	69	да	4804	17
Глава 1	69	уж	4804	4
Глава 1	69	повеселились	4804	1
Глава 1	69	на	4804	65
Глава 1	69	славу	4804	1
Глава 1	69	гасси	4804	12
Глава 1	69	просил	4804	1
Глава 1	69	передать	4804	1
Глава 1	69	вам	4804	11
Глава 1	69	привет	4804	1
Глава 1	70	я	4804	133
Глава 1	70	высоко	4804	1
Глава 1	70	ценю	4804	1
Глава 1	70	его	4804	29
Глава 1	70	любезность	4804	2
Глава 1	70	сэр	4804	17
Глава 1	70	надеюсь	4804	3
Глава 1	70	мистер	4804	2
Глава 1	70	финк	4804	5
Глава 1	70	ноттл	4804	2
Глава 1	70	был	4804	12
Глава 1	70	в	4804	147
Глава 1	71	добром	4804	1
Глава 1	71	расположении	4804	1
Глава 1	71	духа	4804	2
Глава 1	72	о	4804	15
Глава 1	72	лучше	4804	3
Глава 1	72	некуда	4804	1
Глава 1	72	особенно	4804	1
Глава 1	72	если	4804	10
Глава 1	72	вспомнить	4804	1
Глава 1	72	что	4804	84
Глава 1	72	близится	4804	1
Глава 1	72	час	4804	1
Глава 1	72	когда	4804	7
Глава 1	72	он	4804	43
Глава 1	73	станет	4804	2
Глава 1	73	зятем	4804	1
Глава 1	73	сэра	4804	3
Глава 1	73	уоткина	4804	3
Глава 1	73	бассета	4804	7
Глава 1	73	слава	4804	1
Глава 1	73	богу	4804	2
Глава 1	73	что	4804	84
Глава 1	73	он	4804	43
Глава 1	73	а	4804	23
Глава 1	73	не	4804	90
Глава 1	73	я	4804	133
Глава 1	73	дживс	4804	12
Глава 1	74	могу	4804	9
Глава 1	74	лишь	4804	5
Глава 1	74	благодарить	4804	1
Глава 1	74	всевышнего	4804	1
Глава 1	75	произнес	4804	5
Глава 1	75	я	4804	133
Глава 1	75	это	4804	31
Глава 1	75	с	4804	57
Глава 1	75	большим	4804	1
Глава 1	75	жаром	4804	2
Глава 1	75	сейчас	4804	11
Глава 1	75	объясню	4804	1
Глава 1	75	почему	4804	3
Глава 1	75	нынешней	4804	1
Глава 1	75	весной	4804	1
Глава 1	76	когда	4804	7
Глава 1	76	мы	4804	8
Глава 1	76	праздновали	4804	1
Глава 1	76	победу	4804	1
Глава 1	76	в	4804	147
Глава 1	76	гребных	4804	1
Глава 1	76	гонках	4804	1
Глава 1	76	я	4804	133
Глава 1	76	попал	4804	1
Глава 1	76	в	4804	147
Глава 1	76	суровые	4804	1
Глава 1	76	лапы	4804	1
Глава 1	76	закона	4804	1
Глава 1	77	за	4804	26
Глава 1	77	попытку	4804	1
Глава 1	77	освободить	4804	1
Глава 1	77	голову	4804	2
Глава 1	77	полицейского	4804	1
Глава 1	77	от	4804	10
Глава 1	77	его	4804	29
Глава 1	77	каски	4804	1
Глава 1	77	и	4804	141
Глава 1	77	сладко	4804	1
Глава 1	77	проспав	4804	1
Глава 1	78	ночь	4804	1
Глава 1	78	на	4804	65
Глава 1	78	голой	4804	1
Глава 1	78	деревянной	4804	1
Глава 1	78	скамье	4804	1
Глава 1	78	в	4804	147
Глава 1	78	участке	4804	1
Глава 1	78	был	4804	12
Глава 1	78	доставлен	4804	1
Глава 1	78	на	4804	65
Глава 1	78	бошер	4804	1
Глава 1	78	стрит	4804	2
Глава 1	78	и	4804	141
Глава 1	79	оштрафован	4804	1
Глава 1	79	на	4804	65
Глава 1	79	пять	4804	5
Глава 1	79	фунтов	4804	3
Глава 1	79	на	4804	65
Глава 1	79	целых	4804	1
Глава 1	79	пять	4804	5
Глава 1	79	моих	4804	2
Глава 1	79	кровных	4804	1
Глава 1	79	фунтов	4804	3
Глава 1	79	мировой	4804	1
Глава 1	80	судья	4804	1
Глава 1	80	который	4804	8
Глава 1	80	вынес	4804	1
Глава 1	80	этот	4804	13
Глава 1	80	возмутительно	4804	2
Глава 1	80	несправедливый	4804	1
Глава 1	80	приговор	4804	1
Глава 1	80	должен	4804	2
Глава 1	81	признаться	4804	1
Глава 1	81	публика	4804	1
Глава 1	81	встретила	4804	1
Глава 1	81	его	4804	29
Глава 1	81	одобрительными	4804	1
Глава 1	81	возгласами	4804	1
Глава 1	81	был	4804	12
Глава 1	81	не	4804	90
Глава 1	81	кто	4804	4
Глава 1	82	иной	4804	1
Глава 1	82	как	4804	40
Глава 1	82	старикан	4804	4
Глава 1	82	бассет	4804	15
Глава 1	82	папаша	4804	7
Глава 1	82	будущей	4804	1
Глава 1	82	невесты	4804	1
Глава 1	82	гасси	4804	12
Глава 1	83	как	4804	40
Глава 1	83	потом	4804	5
Глава 1	83	выяснилось	4804	1
Глава 1	83	я	4804	133
Глава 1	83	оказался	4804	3
Глава 1	83	одной	4804	1
Глава 1	83	из	4804	26
Глава 1	83	его	4804	29
Глава 1	83	последних	4804	1
Глава 1	83	жертв	4804	1
Глава 1	83	потому	4804	6
Глава 1	84	что	4804	84
Глава 1	84	буквально	4804	4
Глава 1	84	через	4804	4
Глава 1	84	полмесяца	4804	1
Глава 1	84	он	4804	43
Глава 1	84	получил	4804	1
Глава 1	84	от	4804	10
Глава 1	84	дальнего	4804	1
Глава 1	84	родственника	4804	1
Глава 1	84	очень	4804	7
Глава 1	85	неплохое	4804	1
Глава 1	85	наследство	4804	2
Глава 1	85	оставил	4804	1
Глава 1	85	службу	4804	1
Глава 1	85	и	4804	141
Глава 1	85	перебрался	4804	1
Глава 1	85	жить	4804	2
Глава 1	85	в	4804	147
Глава 1	85	деревню	4804	1
Глава 1	85	так	4804	20
Глава 1	85	во	4804	3
Глава 1	86	всяком	4804	2
Глава 1	86	случае	4804	3
Глава 1	86	он	4804	43
Глава 1	86	сам	4804	4
Глава 1	86	представил	4804	1
Глава 1	86	дело	4804	4
Глава 1	86	но	4804	33
Глава 1	86	лично	4804	1
Глава 1	86	я	4804	133
Глава 1	86	убежден	4804	1
Глава 1	86	что	4804	84
Глава 1	86	это	4804	31
Глава 1	86	самое	4804	6
Глава 1	87	наследство	4804	2
Глава 1	87	он	4804	43
Глава 1	87	сколотил	4804	1
Глава 1	87	прикарманивая	4804	1
Глава 1	87	штрафы	4804	1
Глава 1	87	хапнет	4804	2
Глава 1	87	у	4804	20
Глава 1	87	одного	4804	1
Глава 1	87	пятерку	4804	1
Глава 1	88	хапнет	4804	2
Глава 1	88	у	4804	20
Глава 1	88	другого	4804	1
Глава 1	88	третьего	4804	1
Глава 1	88	глядишь	4804	1
Глава 1	88	лет	4804	1
Глава 1	88	эдак	4804	2
Глава 1	88	через	4804	4
Глава 1	88	двадцать	4804	1
Глава 1	88	составился	4804	1
Глава 1	89	солидный	4804	1
Глава 1	89	капиталец	4804	1
Глава 1	90	вы	4804	28
Глава 1	90	ведь	4804	5
Глава 1	90	помните	4804	2
Глава 1	90	дживс	4804	12
Глава 1	90	эту	4804	5
Глава 1	90	злобную	4804	1
Глава 1	90	тварь	4804	2
Глава 1	90	настоящий	4804	1
Глава 1	90	изверг	4804	1
Глава 1	91	возможно	4804	4
Глава 1	91	сэр	4804	17
Глава 1	91	в	4804	147
Глава 1	91	кругу	4804	2
Глава 1	91	своей	4804	4
Глава 1	91	семьи	4804	1
Глава 1	91	сэр	4804	17
Глава 1	91	уоткин	4804	3
Глава 1	91	не	4804	90
Глава 1	91	столь	4804	1
Глава 1	91	суров	4804	1
Глава 1	92	сомневаюсь	4804	1
Глава 1	92	цепного	4804	1
Глава 1	92	пса	4804	2
Глава 1	92	в	4804	147
Глава 1	92	овечку	4804	1
Глава 1	92	не	4804	90
Глава 1	92	превратишь	4804	1
Глава 1	92	ну	4804	12
Глава 1	92	да	4804	17
Глава 1	92	черт	4804	2
Глава 1	92	с	4804	57
Глава 1	92	ним	4804	2
Глава 1	93	письма	4804	1
Глава 1	93	есть	4804	4
Глава 1	94	нет	4804	11
Глава 1	94	сэр	4804	17
Глава 1	95	кто	4804	4
Глава 1	95	нибудь	4804	3
Глава 1	95	звонил	4804	1
Глава 1	96	да	4804	17
Глава 1	96	сэр	4804	17
Глава 1	96	звонила	4804	1
Глава 1	96	миссис	4804	1
Глава 1	96	траверс	4804	3
Глава 1	97	тетушка	4804	6
Глава 1	97	далия	4804	4
Глава 1	97	стало	4804	2
Глава 1	97	быть	4804	12
Глава 1	97	она	4804	19
Глава 1	97	вернулась	4804	2
Глава 1	97	в	4804	147
Глава 1	97	лондон	4804	2
Глава 1	98	именно	4804	10
Глава 1	98	так	4804	20
Глава 1	98	сэр	4804	17
Глава 1	98	она	4804	19
Глава 1	98	выразила	4804	1
Глава 1	98	желание	4804	2
Глава 1	98	побеседовать	4804	2
Глава 1	98	с	4804	57
Глава 1	98	вами	4804	4
Глава 1	98	как	4804	40
Глава 1	99	только	4804	7
Глава 1	99	вы	4804	28
Глава 1	99	сможете	4804	1
Глава 1	99	ей	4804	2
Глава 1	99	позвонить	4804	1
Глава 1	100	я	4804	133
Глава 1	100	сделаю	4804	1
Глава 1	100	лучше	4804	3
Глава 1	100	великодушно	4804	1
Глава 1	100	решил	4804	3
Глава 1	100	я	4804	133
